Product Name,Prices,Description,Reviews,Product Link
"vivo T2x 5G (Black Gladiator, 128 GB)","₹12,999",6 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Dimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,4.4,https://www.flipkart.com/vivo-t2x-5g-black-gladiator-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGXZG9A9UCT35A&lid=LSTMOBGXZG9A9UCT35AGNETW4&marketplace=FLIPKART&q=mobile+under+20000&store=tyy%2F4io&srno=s_2_25&otracker=search&otracker1=search&fm=organic&iid=baf04868-0ca2-4aaa-b7dd-3768b6f4f428.MOBGXZG9A9UCT35A.SEARCH&ppt=None&ppn=None&ssid=wm98sg8dio0000001720472120492&qH=22bbfb4cd5d2103a
"vivo T2x 5G (Sunstone Orange, 128 GB)","₹14,990",6 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Dimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,4.4,https://www.flipkart.com/vivo-t2x-5g-sunstone-orange-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGXZG9HX9EUTZR&lid=LSTMOBGXZG9HX9EUTZRXZASPD&marketplace=FLIPKART&q=mobile+under+20000&store=tyy%2F4io&srno=s_2_26&otracker=search&otracker1=search&fm=organic&iid=baf04868-0ca2-4aaa-b7dd-3768b6f4f428.MOBGXZG9HX9EUTZR.SEARCH&ppt=None&ppn=None&ssid=wm98sg8dio0000001720472120492&qH=22bbfb4cd5d2103a
"vivo T2x 5G (Aurora Gold, 128 GB)","₹12,999",6 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Dimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,4.4,https://www.flipkart.com/vivo-t2x-5g-aurora-gold-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUFNDXSGHS&lid=LSTMOBGZBFUFNDXSGHSMEZSSN&marketplace=FLIPKART&q=mobile+under+20000&store=tyy%2F4io&srno=s_2_27&otracker=search&otracker1=search&fm=organic&iid=baf04868-0ca2-4aaa-b7dd-3768b6f4f428.MOBGZBFUFNDXSGHS.SEARCH&ppt=None&ppn=None&ssid=wm98sg8dio0000001720472120492&qH=22bbfb4cd5d2103a
"vivo T2x 5G (Marine Blue, 128 GB)","₹14,999",8 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Dimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,4.3,https://www.flipkart.com/vivo-t2x-5g-marine-blue-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUZHRYUKVR&lid=LSTMOBGZBFUZHRYUKVRNME6VW&marketplace=FLIPKART&q=mobile+under+20000&store=tyy%2F4io&srno=s_2_28&otracker=search&otracker1=search&fm=organic&iid=baf04868-0ca2-4aaa-b7dd-3768b6f4f428.MOBGZBFUZHRYUKVR.SEARCH&ppt=None&ppn=None&ssid=wm98sg8dio0000001720472120492&qH=22bbfb4cd5d2103a
"REDMI 12 5G (Pastel Blue, 256 GB)","₹13,625",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatterySnapdragon 4 Gen 2 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.2,https://www.flipkart.com/redmi-12-5g-pastel-blue-256-gb/p/itm80cc959e28dc7?pid=MOBGZF9PTEGX5JXZ&lid=LSTMOBGZF9PTEGX5JXZDUQHDT&marketplace=FLIPKART&q=mobile+under+20000&store=tyy%2F4io&srno=s_2_29&otracker=search&otracker1=search&fm=organic&iid=baf04868-0ca2-4aaa-b7dd-3768b6f4f428.MOBGZF9PTEGX5JXZ.SEARCH&ppt=None&ppn=None&ssid=wm98sg8dio0000001720472120492&qH=22bbfb4cd5d2103a
"POCO X6 Neo 5G (Astral Black, 128 GB)","₹14,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Full HD+ Display108MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 6080 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.1,https://www.flipkart.com/poco-x6-neo-5g-astral-black-128-gb/p/itm46b7f88d952f6?pid=MOBGYQ6BDAJN2UZU&lid=LSTMOBGYQ6BDAJN2UZUVXSVHJ&marketplace=FLIPKART&q=mobile+under+20000&store=tyy%2F4io&srno=s_2_30&otracker=search&otracker1=search&fm=organic&iid=baf04868-0ca2-4aaa-b7dd-3768b6f4f428.MOBGYQ6BDAJN2UZU.SEARCH&ppt=None&ppn=None&ssid=wm98sg8dio0000001720472120492&qH=22bbfb4cd5d2103a
"POCO X6 Neo 5G (Horizon Blue, 256 GB)","₹15,999",12 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Full HD+ Display108MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 6080 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.1,https://www.flipkart.com/poco-x6-neo-5g-horizon-blue-256-gb/p/itm46586bcd2eeae?pid=MOBGYQ6BJU89XKHH&lid=LSTMOBGYQ6BJU89XKHHAWNNJ9&marketplace=FLIPKART&q=mobile+under+20000&store=tyy%2F4io&srno=s_2_31&otracker=search&otracker1=search&fm=organic&iid=baf04868-0ca2-4aaa-b7dd-3768b6f4f428.MOBGYQ6BJU89XKHH.SEARCH&ppt=None&ppn=None&ssid=wm98sg8dio0000001720472120492&qH=22bbfb4cd5d2103a
"POCO X6 Neo 5G (Martian Orange, 128 GB)","₹14,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Full HD+ Display108MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 6080 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.1,https://www.flipkart.com/poco-x6-neo-5g-martian-orange-128-gb/p/itmb53368ff4b262?pid=MOBGYQ6BFZJ9RHDD&lid=LSTMOBGYQ6BFZJ9RHDDZW8XID&marketplace=FLIPKART&q=mobile+under+20000&store=tyy%2F4io&srno=s_2_32&otracker=search&otracker1=search&fm=organic&iid=baf04868-0ca2-4aaa-b7dd-3768b6f4f428.MOBGYQ6BFZJ9RHDD.SEARCH&ppt=None&ppn=None&ssid=wm98sg8dio0000001720472120492&qH=22bbfb4cd5d2103a
"IQOO Z9 (Brushed Green, 128 GB)","₹18,678",8 GB RAM | 128 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera5000 mAh Battery1 Year,4.3,https://www.flipkart.com/iqoo-z9-brushed-green-128-gb/p/itme27e664c66320?pid=MOBGZFVUYE7M7EMR&lid=LSTMOBGZFVUYE7M7EMRUAGQZD&marketplace=FLIPKART&q=mobile+under+20000&store=tyy%2F4io&srno=s_2_33&otracker=search&otracker1=search&fm=organic&iid=baf04868-0ca2-4aaa-b7dd-3768b6f4f428.MOBGZFVUYE7M7EMR.SEARCH&ppt=None&ppn=None&ssid=wm98sg8dio0000001720472120492&qH=22bbfb4cd5d2103a
"realme NARZO 70X 5G (Ice Blue, 128 GB)","₹14,399","8 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display50MP Rear Camera5000 mAh BatteryDimensity 6100 Plus, Octa Core Processor1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.3,https://www.flipkart.com/realme-narzo-70x-5g-ice-blue-128-gb/p/itm4f71d9402833b?pid=MOBHFYR3HDCKWSZY&lid=LSTMOBHFYR3HDCKWSZYCCZ7G1&marketplace=FLIPKART&q=mobile+under+20000&store=tyy%2F4io&srno=s_2_34&otracker=search&otracker1=search&fm=organic&iid=baf04868-0ca2-4aaa-b7dd-3768b6f4f428.MOBHFYR3HDCKWSZY.SEARCH&ppt=None&ppn=None&ssid=wm98sg8dio0000001720472120492&qH=22bbfb4cd5d2103a
"POCO X6 5G (Skyline Blue, 256 GB)","₹19,999",12 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display64MP + 8MP + 2MP | 16MP Front Camera5100 mAh Battery7s Gen 2 Mobile Platform 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3,https://www.flipkart.com/poco-x6-5g-skyline-blue-256-gb/p/itm5acbfcf568a39?pid=MOBHY76SHVXY6TJU&lid=LSTMOBHY76SHVXY6TJUUWRPNP&marketplace=FLIPKART&q=mobile+under+20000&store=tyy%2F4io&srno=s_2_35&otracker=search&otracker1=search&fm=organic&iid=baf04868-0ca2-4aaa-b7dd-3768b6f4f428.MOBHY76SHVXY6TJU.SEARCH&ppt=None&ppn=None&ssid=wm98sg8dio0000001720472120492&qH=22bbfb4cd5d2103a
